"","names"
"1","X"
"2","long"
"3","lat"
"4","order"
"5","hole"
"6","piece"
"7","id"
"8","group"
"9","FID"
"10","Tract"
"11","Year"
"12","City"
"13","LACity"
"14","Community_Name"
"15","Detailed_Name"
"16","SPA"
"17","SD"
"18","CD"
"19","ca_ssd"
"20","ca_sad"
"21","us_cd"
"22","DemogSurvCt"
"23","YouthSurvCt"
"24","SheltHmisCt"
"25","ShelterCountAny"
"26","StreetCountAny"
"27","totStreetSingAdult"
"28","totStreetFamHH"
"29","totStreetFamMem"
"30","totCars"
"31","totVans"
"32","totCampers"
"33","totTents"
"34","totEncamp"
"35","totCarPeople"
"36","totVanPeople"
"37","totCamperPeople"
"38","totTentPeople"
"39","totEncampPeople"
"40","FamCarHH"
"41","FamVanHH"
"42","FamCamperHH"
"43","FamTentHH"
"44","FamEncampHH"
"45","FamCarPeople"
"46","FamVanPeople"
"47","FamCamperPeople"
"48","FamTentPeople"
"49","FamEncampPeople"
"50","IndCarPeople"
"51","IndVanPeople"
"52","IndCamperPeople"
"53","IndTentPeople"
"54","IndEncampPeople"
"55","totYouthFamHH"
"56","totESAdultSingAdult"
"57","totESAdultFamHH"
"58","totESAdultFamMem"
"59","totESYouthSingYouth"
"60","totESYouthFamHH"
"61","totESYouthFamMem"
"62","totESYouthUnaccYouth"
"63","totTHAdultSingAdult"
"64","totTHAdultFamHH"
"65","totTHAdultFamMem"
"66","totTHYouthSingYouth"
"67","totTHYouthFamHH"
"68","totTHYouthFamMem"
"69","totTHYouthUnaccYouth"
"70","totSHAdultSingAdult"
"71","totSHAdultFamHH"
"72","totSHAdultFamMem"
"73","totSHYouthSingYouth"
"74","totSHYouthFamHH"
"75","totSHYouthFamMem"
"76","totSHYouthUnaccYouth"
"77","totUnsheltPeople"
"78","totESPeople"
"79","totTHPeople"
"80","totSHPeople"
"81","totSheltPeople"
"82","totPeople"
